year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
1997,WP041997,35.0,20.0,45.0,13.5,55.5,10.0,25.0,35.0,1000.0,1002.0,998.0,short,11.1,11.7,14.9
1998,WP041998,35.0,30.0,100.0,37.5,37.5,65.0,70.0,135.0,1000.0,1002.0,970.0,short,15.3,22.2,26.3
1999,WP041999,35.0,55.0,75.0,91.5,40.5,40.0,20.0,60.0,1000.0,989.0,980.0,medium,13.7,22.1,28.7
2001,WP042001,35.0,36.0,100.0,67.5,34.5,65.0,64.0,129.0,996.0,1000.0,965.0,medium,13.0,22.2,31.3
2003,WP042003,35.0,45.0,115.0,109.5,82.5,80.0,70.0,150.0,1004.0,993.0,940.0,medium,6.9,17.4,34.5
2004,WP042004,38.0,50.0,140.0,64.5,112.5,102.0,90.0,192.0,999.0,980.0,935.0,medium,8.2,12.6,36.0
2005,WP042005,35.0,29.0,125.0,97.5,181.5,90.0,96.0,186.0,1004.0,996.0,930.0,long,9.6,14.1,36.6
2006,WP042006,40.0,28.0,130.0,106.5,130.5,90.0,102.0,192.0,1001.0,991.0,930.0,long,7.2,17.9,36.5
2007,WP042007,35.0,53.0,125.0,76.5,76.5,90.0,72.0,162.0,996.0,975.0,930.0,medium,9.6,21.0,34.1
2008,WP042008,35.0,29.0,41.0,22.5,10.5,6.0,12.0,18.0,996.0,1000.0,992.0,short,22.3,26.6,27.2
2009,WP042009,35.0,23.0,45.0,19.5,76.5,10.0,22.0,32.0,1000.0,998.0,994.0,short,11.3,12.5,23.1
2010,WP042010,35.0,20.0,80.0,61.5,37.5,45.0,60.0,105.0,1000.0,1000.0,970.0,short,15.7,20.6,23.7
2011,WP042011,35.0,53.0,140.0,115.5,70.5,105.0,87.0,192.0,1000.0,980.0,920.0,medium,9.2,15.6,31.8
2012,WP042012,35.0,45.0,105.0,67.5,52.5,70.0,60.0,130.0,998.0,978.0,960.0,medium,14.9,21.6,32.3
2013,WP042013,35.0,33.0,35.0,1.5,46.5,0.0,2.0,2.0,996.0,995.0,994.0,short,19.0,19.0,29.3
2015,WP042015,35.0,25.0,150.0,103.5,157.5,115.0,125.0,240.0,1006.0,1010.0,910.0,long,7.1,10.2,20.6
2016,WP042016,35.0,43.0,45.0,13.5,10.5,10.0,2.0,12.0,1004.0,1000.0,1000.0,short,27.5,30.8,34.0
2017,WP042017,35.0,22.0,45.0,19.5,34.5,10.0,23.0,33.0,1002.0,1004.0,985.0,short,17.3,20.2,25.7
2018,WP042018,35.0,23.0,35.0,1.5,40.5,0.0,12.0,12.0,1002.0,1004.0,1002.0,short,19.0,19.0,21.9
2019,WP042019,35.0,23.0,35.0,1.5,22.5,0.0,12.0,12.0,1000.0,1005.0,1000.0,short,14.8,14.8,18.1
2020,WP042020,35.0,25.0,45.0,19.5,25.5,10.0,20.0,30.0,994.0,996.0,985.0,short,18.6,19.3,19.8
2021,WP042021,35.0,35.0,45.0,19.5,124.5,10.0,10.0,20.0,1002.0,1001.0,998.0,medium,6.3,8.1,25.7
2022,WP042022,35.0,23.0,75.0,43.5,46.5,40.0,52.0,92.0,992.0,996.0,965.0,short,16.1,20.6,25.8
2023,WP042023,35.0,25.0,80.0,43.5,46.5,45.0,55.0,100.0,990.0,988.0,970.0,short,18.4,20.7,23.1
2024,WP042024,35.0,25.0,60.0,55.5,67.5,25.0,35.0,60.0,1002.0,995.0,985.0,medium,15.8,20.4,21.5
1982,WP051982,35.0,53.0,75.0,103.5,40.5,40.0,22.0,62.0,1000.0,980.0,975.0,medium,9.6,23.9,37.4
1983,WP051983,35.0,38.0,145.0,73.5,256.5,110.0,107.0,217.0,996.0,990.0,895.0,long,9.9,17.4,37.7
1984,WP051984,35.0,29.0,90.0,61.5,172.5,55.0,61.0,116.0,998.0,997.0,955.0,long,19.1,21.9,30.6
1985,WP051985,35.0,35.0,100.0,79.5,46.5,65.0,65.0,130.0,992.0,988.0,960.0,medium,14.6,20.9,24.0
1986,WP051986,34.0,48.0,80.0,46.5,34.5,46.0,32.0,78.0,1000.0,996.0,955.0,short,13.5,22.4,33.5
1987,WP051987,35.0,38.0,130.0,73.5,112.5,95.0,92.0,187.0,1002.0,980.0,915.0,medium,14.9,17.9,40.5
1988,WP051988,35.0,29.0,45.0,13.5,55.5,10.0,16.0,26.0,1002.0,1002.0,990.0,short,8.3,10.1,22.4
1989,WP051989,35.0,29.0,100.0,85.5,85.5,65.0,71.0,136.0,1000.0,1000.0,955.0,medium,10.4,16.6,22.5
