year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
1991,EP031991,35.0,25.0,105.0,175.5,79.5,70.0,80.0,150.0,1005.0,1011.0,955.0,long,12.3,15.3,16.7
1992,EP031992,35.0,30.0,35.0,1.5,19.5,0.0,5.0,5.0,1005.0,1008.0,1004.0,short,16.5,16.5,16.1
1994,EP031994,35.0,25.0,90.0,37.5,121.5,55.0,65.0,120.0,1005.0,1009.0,967.0,medium,13.1,16.6,21.0
1995,EP031995,35.0,25.0,120.0,133.5,103.5,85.0,95.0,180.0,1005.0,1009.0,940.0,long,12.0,14.2,17.3
1996,EP031996,35.0,25.0,90.0,67.5,91.5,55.0,65.0,120.0,1005.0,1009.0,969.0,medium,14.4,17.2,18.7
1998,EP031998,35.0,20.0,120.0,67.5,133.5,85.0,100.0,185.0,1005.0,1009.0,943.0,long,9.7,15.3,18.0
2000,EP032000,35.0,25.0,135.0,55.5,103.5,100.0,110.0,210.0,1002.0,1004.0,932.0,medium,12.9,15.1,24.5
2001,EP032001,35.0,25.0,40.0,7.5,37.5,5.0,15.0,20.0,1003.0,1006.0,1000.0,short,15.8,16.3,19.2
2003,EP032003,35.0,28.0,55.0,13.5,16.5,20.0,27.0,47.0,1003.0,1003.0,996.0,short,14.7,15.7,16.6
2004,EP032004,35.0,30.0,55.0,19.5,40.5,20.0,25.0,45.0,1002.0,1006.0,991.0,short,15.5,18.4,23.1
2005,EP032005,35.0,23.0,45.0,19.5,40.5,10.0,22.0,32.0,1003.0,1006.0,1000.0,short,13.5,14.7,14.9
2006,EP032006,35.0,23.0,110.0,52.5,76.5,75.0,87.0,162.0,1005.0,1010.0,953.0,medium,13.4,17.2,22.2
2008,EP032008,35.0,30.0,45.0,7.5,46.5,10.0,15.0,25.0,1005.0,1006.0,999.0,short,14.4,14.6,14.1
2009,EP032009,35.0,25.0,45.0,13.5,52.5,10.0,20.0,30.0,1002.0,1007.0,998.0,short,17.1,18.0,21.6
2010,EP032010,35.0,28.0,55.0,49.5,52.5,20.0,27.0,47.0,1003.0,1009.0,994.0,medium,15.0,16.5,17.5
2011,EP032011,35.0,35.0,70.0,25.5,28.5,35.0,35.0,70.0,1003.0,1001.0,984.0,short,15.7,16.7,17.6
2012,EP032012,35.0,23.0,95.0,40.5,25.5,60.0,72.0,132.0,1003.0,1006.0,973.0,short,9.8,14.9,17.9
2013,EP032013,35.0,40.0,75.0,49.5,34.5,40.0,35.0,75.0,1003.0,1002.0,980.0,short,12.2,17.8,20.1
2014,EP032014,35.0,38.0,130.0,55.5,64.5,95.0,92.0,187.0,1005.0,1003.0,935.0,medium,15.5,16.4,19.8
2015,EP032015,35.0,30.0,80.0,127.5,22.5,45.0,50.0,95.0,1001.0,1005.0,978.0,medium,13.7,17.7,20.0
2016,EP032016,35.0,33.0,120.0,70.5,100.5,85.0,87.0,172.0,1007.0,1005.0,947.0,medium,11.2,14.3,21.0
2017,EP032017,35.0,30.0,40.0,7.5,7.5,5.0,10.0,15.0,1005.0,1007.0,1004.0,short,15.6,15.9,16.2
2018,EP032018,35.0,35.0,120.0,49.5,82.5,85.0,85.0,170.0,1003.0,1002.0,943.0,medium,12.7,17.3,24.3
2019,EP032019,45.0,33.0,45.0,1.5,34.5,0.0,12.0,12.0,1001.0,1005.0,1001.0,short,15.5,15.5,18.7
2020,EP032020,35.0,28.0,35.0,1.5,52.5,0.0,7.0,7.0,1005.0,1008.0,1005.0,short,11.0,11.0,12.3
2021,EP032021,35.0,28.0,45.0,13.5,76.5,10.0,17.0,27.0,1007.0,1008.0,1003.0,short,11.8,11.9,9.0
2022,EP032022,35.0,30.0,50.0,175.5,106.5,15.0,20.0,35.0,1004.0,1008.0,997.0,long,10.8,16.8,22.2
2023,EP032023,35.0,38.0,110.0,85.5,118.5,75.0,72.0,147.0,1006.0,1008.0,953.0,long,11.7,13.7,17.8
